,0.1,0.2,0.3,0.4,0.5
50,8.3,11.1,12.7,13.6,13.9
100,5.9,7.8,9.0,9.6,9.8
150,4.8,6.4,7.3,7.8,8.0
200,4.2,5.5,6.4,6.8,6.9
250,3.7,5.0,5.7,6.1,6.2
300,3.4,4.5,5.2,5.5,5.7
350,3.1,4.2,4.8,5.1,5.2
400,2.9,3.9,4.5,4.8,4.9
450,2.8,3.7,4.2,4.5,4.6
500,2.6,3.5,4.0,4.3,4.4
550,2.5,3.3,3.8,4.1,4.2
600,2.4,3.2,3.7,3.9,4.0
650,2.3,3.1,3.5,3.8,3.8
700,2.2,3.0,3.4,3.6,3.7
750,2.1,2.9,3.3,3.5,3.6
800,2.1,2.8,3.2,3.4,3.5
850,2.0,2.7,3.1,3.3,3.4
900,2.0,2.6,3.0,3.2,3.3
950,1.9,2.5,2.9,3.1,3.2
1000,1.9,2.5,2.8,3.0,3.1
1050,1.8,2.4,2.8,3.0,3.0
1100,1.8,2.4,2.7,2.9,3.0
1150,1.7,2.3,2.6,2.8,2.9
1200,1.7,2.3,2.6,2.8,2.8
1250,1.7,2.2,2.5,2.7,2.8
1300,1.6,2.2,2.5,2.7,2.7
1350,1.6,2.1,2.4,2.6,2.7
1400,1.6,2.1,2.4,2.6,2.6
1450,1.5,2.1,2.4,2.5,2.6
1500,1.5,2.0,2.3,2.5,2.5
1550,1.5,2.0,2.3,2.4,2.5
1600,1.5,2.0,2.2,2.4,2.5
1650,1.4,1.9,2.2,2.4,2.4
1700,1.4,1.9,2.2,2.3,2.4
1750,1.4,1.9,2.1,2.3,2.3
1800,1.4,1.8,2.1,2.3,2.3
1850,1.4,1.8,2.1,2.2,2.3
1900,1.3,1.8,2.1,2.2,2.2
1950,1.3,1.8,2.0,2.2,2.2
2000,1.3,1.8,2.0,2.1,2.2
